place_id,name,keyword,latitude,longitude
ChIJb_DdUxpzREAR04eUiPMFJ3Q,Pita Fresh,fast food,41.725299,44.7459924
ChIJ97CYs2dzREARo_NJ3yi19t0,Bruno Burger,fast food,41.7239415,44.7392975
ChIJwYsdSoVzREARloU_5TY4Oco,ANA FOOD 51,fast food,41.7241473,44.7411821
ChIJyaW2jxlzREARPpzPXwU_KSQ,LAVA Shaurma,fast food,41.7249285,44.7412458
ChIJ1xLOEtVyREAR86Na1iX_JIY,MARGE - მარგე,fast food,41.7270045,44.758828
ChIJUdeaq5VzREAR8pTkUbta8FE,Meatology • მითოლოგი,fast food,41.7123306,44.75239790000001
ChIJ2z0T-NRzREAR296VhejpTd8,3 Shaurma,fast food,41.7242486,44.7399149
ChIJwc2ikSZzREARMxQrUpBUTok,Kartsi's Cheesesteak,fast food,41.7254314,44.7502863
ChIJPfAIHABzREARy5yMXLzwRQ0,Hollyfood • ჰოლიფუდი,fast food,41.7255753,44.7612361
ChIJD4zaIQBzREARMvG0O84Il7Q,დელისი შაურმა,fast food,41.7257487,44.7436216
ChIJ0bOxQ4tzREARjYVHtKUTTqg,Wrap Up,fast food,41.7239775,44.7451742
ChIJ0RAmrzlzREARxQW4MriqQXU,Caffè Lazarina,fast food,41.7128845,44.7504563
ChIJPbJlWuB1REAR6fVuPf65b98,Megobroba,fast food,41.7214008,44.7397856
ChIJRf0DmmRzREARgD9xgOOJJr8,995 Pizza & Fast Food,fast food,41.727703,44.7441025
ChIJX2M-3eFyREAR0JBi4e08Ndw,Tarantino,fast food,41.727967,44.7588855
ChIJH3GqVslzREARGEw8EY1XPe8,Extrameat's Pavilion,fast food,41.7136157,44.7417194
ChIJZ-Msne9zREARwjdVR_t2Jgg,Gldani Express,fast food,41.7281878,44.758494
ChIJLX_HTABzREARYz6E3qUve0A,Megobroba,fast food,41.7214366,44.7397976
ChIJQ3OegpRzREARqNA0w-nCD0s,Akve Delisze,fast food,41.7265845,44.7443562
ChIJO0HZ1eFyREARjliSW-jbD5I,Spectra,fast food,41.7271193,44.7592335
ChIJp5JweABzREARcmOFigE_7uY,Delisis Shaurma,fast food,41.72555010000001,44.7441437
ChIJ9epSzk9zREAR5nYoeVpt-y0,Ok Shaurma,fast food,41.7280336,44.7589291
ChIJN8YZlx9zREARv6yCdhi3tKI,Dunkin',fast food,41.7253192,44.7591432
ChIJ7_-biUBzREAR0KkFC5Mm6cM,Dunkin’,fast food,41.7244975,44.7531597
ChIJN9kq-ilzREARTUYzAaJ98Vw,Wendy's,fast food,41.717721,44.777641
ChIJMTryDWFzREARcVFQJv_LJ5o,burger bistro,fast food,41.7175325,44.7757729
ChIJf-BfNgBzREARbADiyH5T-hE,მეხი შაურმა / Mexi Shaurma,fast food,41.7203098,44.7785832
ChIJcQVHTgBzREAR_FV3PRFoBI0,Foodaholic restaurant,fast food,41.7194555,44.7786634
ChIJr9PEkNlyREAROFPhmwzUdUE,ბინგო შაურმა,fast food,41.723502,44.7755938
